epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6464,3.04109,6.21208,2.58041,0.77254,0.04939,0.01302,0.00381,2.74879,11.2174,2.56528,0.00015,0.00015,0.00015
2,31.9599,2.09018,2.77445,1.89664,0.15789,0.10896,0.12712,0.05657,2.1596,5.83712,2.15239,0.000309406,0.000309406,0.000309406
3,37.7138,1.84068,1.96922,1.68408,0.29238,0.19896,0.21278,0.08612,2.02393,2.57715,2.01114,0.000465595,0.000465595,0.000465595
4,45.7184,1.76574,1.76337,1.67792,0.29992,0.3083,0.2911,0.12736,1.8687,2.41965,1.93669,0.000618566,0.000618566,0.000618566
5,51.4894,1.72377,1.62457,1.65277,0.32084,0.21869,0.18945,0.0732,2.0301,2.45976,2.22937,0.00076832,0.00076832,0.00076832
6,56.8241,1.71014,1.57581,1.62892,0.10097,0.08456,0.03359,0.00956,3.02804,4.21263,2.61737,0.000914856,0.000914856,0.000914856
7,63.0649,1.76003,1.56576,1.67179,0.34304,0.19906,0.12442,0.04403,2.4061,3.06133,2.33022,0.00105817,0.00105817,0.00105817
8,69.7797,1.70357,1.50764,1.63607,0.43371,0.23086,0.24169,0.09182,2.11627,2.48817,2.15953,0.00116337,0.00116337,0.00116337
9,76.3509,1.71672,1.48722,1.61994,0.73096,0.18235,0.20493,0.07801,2.28877,3.45467,2.2842,0.001151,0.001151,0.001151
10,82.2095,1.7203,1.4971,1.65841,0.37385,0.35005,0.31753,0.12619,2.11927,2.28284,2.1553,0.00113863,0.00113863,0.00113863
11,89.4943,1.68377,1.41562,1.60866,0.51117,0.38368,0.32837,0.1447,1.90631,2.25427,1.98429,0.00112625,0.00112625,0.00112625
12,95.3704,1.65509,1.41807,1.60445,0.53001,0.25118,0.29759,0.12094,2.02063,2.06658,2.04624,0.00111388,0.00111388,0.00111388
13,100.488,1.6483,1.36687,1.58829,0.47748,0.54884,0.4999,0.22184,1.79641,2.31575,1.90153,0.0011015,0.0011015,0.0011015
14,106.563,1.59125,1.3067,1.54539,0.5242,0.55348,0.52562,0.23531,1.83923,1.56699,1.8867,0.00108913,0.00108913,0.00108913
15,112.228,1.5874,1.28457,1.5537,0.5639,0.50003,0.49671,0.20307,1.86262,1.542,1.89709,0.00107675,0.00107675,0.00107675
