id,review_id,product_id,user_id,review_text,rating,review_time,platform,crawl_time,review_length,exclamation_count,repeat_char_ratio,sentiment_score,user_review_count,avg_review_interval_days,label,is_cleaned,is_duplicate,created_at
1,RP10001_164657,P10001,user_38692,用了半个月了，暂时没发现什么问题，还可以，可以的,4,2025-05-04 20:46:45,taobao,2026-03-11 20:46:45,24,0,0.0,0.722,17,32.7,0,1,0,2026-03-11 20:47:05
2,RP10001_111419,P10001,user_19908,千万别买！上当受骗！垃圾垃圾垃圾！，无敌了...满意,5,2025-08-06 20:46:45,taobao,2026-03-11 20:46:45,26,3,0.077,0.907,11,1.5,1,1,0,2026-03-11 20:47:05
3,RP10001_401014,P10001,user_13310,这个颜色很正，实物和图片差不多，推荐；挺满意,4,2026-03-01 20:46:45,taobao,2026-03-11 20:46:45,22,0,0.0,0.643,56,27.2,0,1,0,2026-03-11 20:47:05
4,RP10001_517033,P10001,user_94586,差差差！垃圾产品！千万不要买！退款退款！。收到两天了，绝了,5,2025-04-03 20:46:45,taobao,2026-03-11 20:46:45,29,4,0.069,0.102,8,0.9,1,1,0,2026-03-11 20:47:05
5,RP10001_937258,P10001,user_24585,产品不错，性价比高，推荐购买，回购了；好评,5,2025-06-14 20:46:45,taobao,2026-03-11 20:46:45,21,0,0.0,0.743,7,3.8,1,1,0,2026-03-11 20:47:05
6,RP10001_261692,P10001,user_15041,必须给满分！这个产品简直无敌了！大家快来买！，绝了,1,2025-04-09 20:46:45,taobao,2026-03-11 20:46:45,25,3,0.0,0.946,10,0.9,1,1,0,2026-03-11 20:47:05
7,RP10001_638310,P10001,user_60041,收到货了，包装还可以，但是颜色和图片有点差别～,4,2025-09-16 20:46:45,taobao,2026-03-11 20:46:45,23,0,0.0,0.435,190,34.6,0,1,0,2026-03-11 20:47:05
8,RP10001_535497,P10001,user_54423,垃圾中的垃圾！从来没买过这么差的东西！，太好了,5,2025-03-23 20:46:45,taobao,2026-03-11 20:46:45,23,2,0.0,0.004,7,0.1,1,1,0,2026-03-11 20:47:05
9,RP10001_955067,P10001,user_10080,外观好看，手感不错，就是有点重，可以的 还可以吧,3,2026-01-29 20:46:45,taobao,2026-03-11 20:46:45,24,0,0.0,0.882,164,15.5,0,1,0,2026-03-11 20:47:05
10,RP10001_950266,P10001,user_35143,整体还行，就是说明书写得不太清楚，用了一周，推荐,5,2025-06-25 20:46:45,taobao,2026-03-11 20:46:45,24,0,0.0,0.501,129,50.9,0,1,0,2026-03-11 20:47:05
11,RP10001_294995,P10001,user_76089,总体满意，质量做工都不错，值得购买 比想象中好,4,2025-04-04 20:46:45,taobao,2026-03-11 20:46:45,23,0,0.0,0.631,45,3.2,1,1,0,2026-03-11 20:47:05
12,RP10001_980169,P10001,user_90909,快递给力，产品也不错，满意的一次购物，物流不错,2,2025-09-11 20:46:45,taobao,2026-03-11 20:46:45,23,0,0.0,0.667,88,35.0,0,1,0,2026-03-11 20:47:05
13,RP10001_791357,P10001,user_33918,质量非常好非常好，强烈推荐强烈推荐，五星好评！！！无敌了...还不错,5,2025-05-22 20:46:45,taobao,2026-03-11 20:46:45,35,3,0.114,0.9,1,0.2,1,1,0,2026-03-11 20:47:05
